Mes,Dia,Inicio,Fin,Promedio_exterior,Promedio_interior,Promedio_clima,Corr(Ext-Clima),Corr(Int-Clima)
Abril,1,07:00,07:45,23,23,22,0.073,0.458
Abril,1,07:45,08:30,24,23,21,-0.093,0.468
Abril,1,08:30,09:15,25,23,22,0.007,0.48
Abril,1,09:15,10:00,26,23,22,-0.118,0.44
Abril,1,10:00,10:45,27,24,21,0.124,0.221
Abril,1,10:45,11:30,28,24,21,-0.036,0.403
Abril,1,11:30,12:15,29,24,21,0.028,0.405
Abril,1,12:15,13:00,30,24,21,0.066,0.436
Abril,1,13:00,13:45,30,24,21,0.042,0.631
Abril,1,13:45,14:30,31,24,22,-0.083,0.319
Abril,1,14:30,15:15,31,24,21,-0.06,0.439
Abril,1,15:15,16:00,31,24,21,-0.175,0.349
Abril,1,16:00,16:45,30,24,21,0,0.522
Abril,1,16:45,17:30,30,24,21,0.06,0.543
Abril,1,17:30,18:15,29,24,21,-0.036,0.332
Abril,1,18:15,19:00,29,24,22,0.136,0.54
Abril,1,19:00,19:45,28,24,22,0.011,0.428
Abril,1,19:45,20:30,28,24,21,0.079,0.688
Enero,1,07:00,07:45,20,22,21,0.005,0.379
Enero,1,07:45,08:30,20,23,21,-0.099,0.301
Enero,1,08:30,09:15,21,23,22,-0.064,0.614
Enero,1,09:15,10:00,21,23,22,-0.027,0.346
Enero,1,10:00,10:45,22,23,22,0.102,0.412
Enero,1,10:45,11:30,23,23,22,0.069,0.575
Enero,1,11:30,12:15,24,23,21,-0.133,0.576
Enero,1,12:15,13:00,24,23,21,-0.052,0.415
Enero,1,13:00,13:45,25,23,22,0.272,0.642
Enero,1,13:45,14:30,25,23,21,-0.103,0.484
Enero,1,14:30,15:15,25,23,22,-0.131,0.494
Enero,1,15:15,16:00,25,23,21,-0.029,0.494
Enero,1,16:00,16:45,25,23,21,-0.016,0.603
Enero,1,16:45,17:30,25,23,21,0.047,0.53
Enero,1,17:30,18:15,24,23,22,-0.066,0.464
Enero,1,18:15,19:00,24,23,22,0.002,0.356
Enero,1,19:00,19:45,23,23,22,-0.036,0.382
Enero,1,19:45,20:30,23,23,22,-0.046,0.682
Febrero,1,07:00,07:45,20,23,22,0.008,0.512
Febrero,1,07:45,08:30,21,23,21,-0.062,0.491
Febrero,1,08:30,09:15,21,23,21,0.041,0.433
Febrero,1,09:15,10:00,22,23,22,0.111,0.509
Febrero,1,10:00,10:45,23,23,21,-0.165,0.243
Febrero,1,10:45,11:30,24,23,22,0.02,0.425
Febrero,1,11:30,12:15,25,23,21,0.046,0.434
Febrero,1,12:15,13:00,25,23,21,0.075,0.538
Febrero,1,13:00,13:45,26,23,21,-0.024,0.285
Febrero,1,13:45,14:30,26,23,22,-0.036,0.474
Febrero,1,14:30,15:15,26,24,22,-0.095,0.425
Febrero,1,15:15,16:00,27,24,21,-0.116,0.519
Febrero,1,16:00,16:45,26,24,22,-0.255,0.352
Febrero,1,16:45,17:30,26,23,22,0.309,0.505
Febrero,1,17:30,18:15,25,23,21,-0.108,0.588
Febrero,1,18:15,19:00,24,23,21,0.313,0.653
Febrero,1,19:00,19:45,24,23,22,-0.09,0.636
Febrero,1,19:45,20:30,23,23,22,0.056,0.411
Junio,1,07:00,07:45,25,23,21,-0.225,0.423
Junio,1,07:45,08:30,26,23,22,0.152,0.29
Junio,1,08:30,09:15,27,24,21,-0.124,0.269
Junio,1,09:15,10:00,28,24,21,-0.104,0.431
Junio,1,10:00,10:45,29,24,22,0.156,0.635
Junio,1,10:45,11:30,30,24,21,-0.011,0.573
Junio,1,11:30,12:15,31,24,22,0.023,0.561
Junio,1,12:15,13:00,32,24,21,-0.212,0.591
Junio,1,13:00,13:45,32,24,22,0.033,0.577
Junio,1,13:45,14:30,33,24,22,-0.056,0.401
Junio,1,14:30,15:15,33,25,22,0.017,0.507
Junio,1,15:15,16:00,33,24,22,-0.095,0.46
Junio,1,16:00,16:45,32,24,21,-0.102,0.564
Junio,1,16:45,17:30,32,24,21,-0.061,0.49
Junio,1,17:30,18:15,31,24,22,-0.054,0.538
Junio,1,18:15,19:00,31,24,21,0.125,0.585
Junio,1,19:00,19:45,30,24,22,0.089,0.447
Junio,1,19:45,20:30,30,24,21,-0.188,0.676
Marzo,1,07:00,07:45,21,23,22,0.01,0.544
Marzo,1,07:45,08:30,22,23,22,0.048,0.476
Marzo,1,08:30,09:15,23,23,22,0.143,0.444
Marzo,1,09:15,10:00,24,23,22,0.092,0.555
Marzo,1,10:00,10:45,25,23,22,0.079,0.388
Marzo,1,10:45,11:30,26,23,21,-0.045,0.469
Marzo,1,11:30,12:15,27,23,21,-0.262,0.43
Marzo,1,12:15,13:00,28,24,21,0.055,0.574
Marzo,1,13:00,13:45,28,24,22,-0.074,0.597
Marzo,1,13:45,14:30,29,24,21,0.003,0.512
Marzo,1,14:30,15:15,29,24,21,-0.01,0.516
Marzo,1,15:15,16:00,29,24,22,-0.041,0.499
Marzo,1,16:00,16:45,29,24,21,0.035,0.322
Marzo,1,16:45,17:30,28,24,22,-0.045,0.351
Marzo,1,17:30,18:15,27,24,22,0.004,0.309
Marzo,1,18:15,19:00,27,24,22,-0.137,0.295
Marzo,1,19:00,19:45,26,23,21,-0.143,0.559
Marzo,1,19:45,20:30,26,23,21,-0.173,0.373
Mayo,1,07:00,07:45,25,23,21,-0.071,0.309
Mayo,1,07:45,08:30,26,23,22,-0.064,0.613
Mayo,1,08:30,09:15,27,23,21,0.005,0.401
Mayo,1,09:15,10:00,28,24,22,-0.048,0.466
Mayo,1,10:00,10:45,29,24,21,0.002,0.408
Mayo,1,10:45,11:30,30,24,22,-0.137,0.554
Mayo,1,11:30,12:15,30,24,21,-0.182,0.457
Mayo,1,12:15,13:00,31,24,21,0.104,0.548
Mayo,1,13:00,13:45,31,24,22,-0.045,0.396
Mayo,1,13:45,14:30,32,24,21,-0.015,0.499
Mayo,1,14:30,15:15,32,24,22,0.233,0.391
Mayo,1,15:15,16:00,32,24,22,-0.05,0.562
Mayo,1,16:00,16:45,31,24,22,0.115,0.487
